Time resolution is 1 ps
                   0A = 0000000000000000, B = 0000000000000000, Cin = 0, Cout = 0, Sum = 0000000000000000
                   1A = 0000000000000000, B = 0000000000000000, Cin = 1, Cout = 0, Sum = 0000000000000001
                   2A = 0000000000000000, B = 0000000000000001, Cin = 0, Cout = 0, Sum = 0000000000000001
                   3A = 0000000000000000, B = 0000000000000001, Cin = 1, Cout = 0, Sum = 0000000000000010
                   4A = 0000000000000001, B = 0000000000000010, Cin = 0, Cout = 0, Sum = 0000000000000011
                   5A = 0000000000000001, B = 0000000000000010, Cin = 1, Cout = 0, Sum = 0000000000000100
                   6A = 0000000000000001, B = 0000000000000011, Cin = 0, Cout = 0, Sum = 0000000000000100
                   7A = 0000000000000001, B = 0000000000000011, Cin = 1, Cout = 0, Sum = 0000000000000101
                   8A = 0000000000000010, B = 0000000000000100, Cin = 0, Cout = 0, Sum = 0000000000000110
                   9A = 0000000000000010, B = 0000000000000100, Cin = 1, Cout = 0, Sum = 0000000000000111
                  10A = 0000000000000010, B = 0000000000000101, Cin = 0, Cout = 0, Sum = 0000000000000111
                  11A = 0000000000000010, B = 0000000000000101, Cin = 1, Cout = 0, Sum = 0000000000001000
                  12A = 0000000000000011, B = 0000000000000110, Cin = 0, Cout = 0, Sum = 0000000000001001
                  13A = 0000000000000011, B = 0000000000000110, Cin = 1, Cout = 0, Sum = 0000000000001010
                  14A = 0000000000000011, B = 0000000000000111, Cin = 0, Cout = 0, Sum = 0000000000001010
                  15A = 0000000000000011, B = 0000000000000111, Cin = 1, Cout = 0, Sum = 0000000000001011
                  16A = 0000000000000100, B = 0000000000001000, Cin = 0, Cout = 0, Sum = 0000000000001100
                  17A = 0000000000000100, B = 0000000000001000, Cin = 1, Cout = 0, Sum = 0000000000001101
                  18A = 0000000000000100, B = 0000000000001001, Cin = 0, Cout = 0, Sum = 0000000000001101
                  19A = 0000000000000100, B = 0000000000001001, Cin = 1, Cout = 0, Sum = 0000000000001110
                  20A = 0000000000000101, B = 0000000000001010, Cin = 0, Cout = 0, Sum = 0000000000001111
                  21A = 0000000000000101, B = 0000000000001010, Cin = 1, Cout = 0, Sum = 0000000000010000
                  22A = 0000000000000101, B = 0000000000001011, Cin = 0, Cout = 0, Sum = 0000000000010000
                  23A = 0000000000000101, B = 0000000000001011, Cin = 1, Cout = 0, Sum = 0000000000010001
                  24A = 0000000000000110, B = 0000000000001100, Cin = 0, Cout = 0, Sum = 0000000000010010
                  25A = 0000000000000110, B = 0000000000001100, Cin = 1, Cout = 0, Sum = 0000000000010011
